Musly MIREX similarity matrix (Version: 0.2), Method: timbre
1	./DragonForce-Our Final Stand.mp3
2	./DragonForce-Judgement Day.mp3
3	./07 Mozart_ Horn Concerto No.1 In D, K412 _514 - 1. Allegro.m4a
4	./DragonForce-Reaching Into Infinity.mp3
5	./08 Mozart_ Horn Concerto No.1 In D, K412 _514 - 2. Rondo. Allegro.m4a
6	./04 Mozart_ Horn Concerto No.2 In E Flat, K417 - 1. Allegro Maestoso.m4a
7	./Heart of the Storm.mp3
8	./Power of the Ninja Sword.mp3
9	./DragonForce-Astral Empire.mp3
10	./01 Mozart_ Horn Concerto No.3 In E Flat, K447 - 1. Allegro.m4a
11	./DragonForce-Curse Of Darkness.mp3
12	./Last Man Stands.mp3
13	./DragonForce-Hatred And Revenge (Bonus Track).mp3
14	./10 Mozart_ Horn Concerto No.4 In E Flat, K495 - 2. Romanza. Andante.m4a
15	./DragonForce-Midnight Madness.mp3
16	./02 Mozart_ Horn Concerto No.3 In E Flat, K447 - 2. Romance. Larghetto.m4a
17	./05 Mozart_ Horn Concerto No.2 In E Flat, K417 - 2. Andante.m4a
18	./DragonForce-Ashes Of The Dawn.mp3
19	./06 Mozart_ Horn Concerto No.2 In E Flat, K417 - 3. Rondo.m4a
20	./11 Mozart_ Horn Concerto No.4 In E Flat, K495 - 3. Rondo. Allegro Vivace.m4a
21	./Die by the Sword.mp3
22	./Dragonforce - Trail of Broken Hearts.mp3
23	./DragonForce - Storming the Burning Fields.mp3
24	./Avant La Tempête.mp3
25	./Dragonforce - Cry for Eternity.mp3
26	./DragonForce-Silence.mp3
27	./Dragonforce - The Flame of Youth.mp3
28	./09 Mozart_ Horn Concerto No.4 In E Flat, K495 - 1. Allegro Moderato.m4a
29	./DragonForce-The Edge Of The World.mp3
30	./Give Me the Night.mp3
31	./Seasons (Acoustic).mp3
32	./Fallen World.mp3
33	./DragonForce-Evil Dead (Bonus Track).mp3
34	./Body Breakdown.mp3
35	./Heart of the Storm (Alternative).mp3
36	./03 Mozart_ Horn Concerto No.3 In E Flat, K447 - 3 In E Flat, K447 - 3. Allegro.m4a
37	./DragonForce-War!.mp3
38	./DragonForce-Land Of Shattered Dreams.mp3
Q/R	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
11	0.310676	0.318079	0.945908	0.723953	0.935247	0.958008	0.361622	0.444245	0.220881	0.975688	0	0.527181	0.30353	0.970225	0.400742	0.980335	0.984634	0.178783	0.939086	0.950384	0.703245	0.839147	0.516344	0.952479	0.618552	0.465832	0.593656	0.951518	0.617661	0.455003	0.887221	0.395075	0.43599	0.484293	0.398288	0.946378	0.419147	0.330769
12	0.68817	0.629485	0.921124	0.761299	0.872351	0.957743	0.321537	0.287468	0.587499	0.969197	0.527181	0	0.658294	0.960845	0.622689	0.970849	0.977747	0.51965	0.931237	0.903459	0.480912	0.667212	0.540857	0.886292	0.506497	0.650911	0.453928	0.904535	0.776302	0.367077	0.728462	0.399801	0.756822	0.652887	0.299622	0.914828	0.559572	0.498781
13	0.272167	0.229949	0.967549	0.732829	0.968089	0.970511	0.430338	0.473373	0.269615	0.984688	0.30353	0.658294	0	0.978597	0.419092	0.987062	0.990031	0.249132	0.961064	0.973334	0.643755	0.936508	0.661958	0.973778	0.702246	0.585489	0.764554	0.972365	0.491348	0.435872	0.962085	0.436206	0.289262	0.663692	0.429917	0.973672	0.383991	0.313956
14	0.978302	0.976856	0.221585	0.954984	0.643289	0.205205	0.961999	0.972927	0.978763	0.188175	0.970225	0.960845	0.978597	0	0.976368	0.279299	0.348641	0.974234	0.20019	0.220218	0.984556	0.942067	0.970614	0.837113	0.96679	0.97428	0.944214	0.377565	0.981539	0.970368	0.90021	0.97148	0.98032	0.976366	0.965001	0.178693	0.965335	0.974602
15	0.506952	0.499826	0.943637	0.780393	0.931497	0.964338	0.470263	0.429977	0.454657	0.980598	0.400742	0.622689	0.419092	0.976368	0	0.977472	0.98407	0.410172	0.950417	0.951206	0.685068	0.808081	0.680664	0.935168	0.738345	0.220191	0.729743	0.945148	0.763461	0.457959	0.796753	0.503856	0.511205	0.551173	0.475233	0.959105	0.650879	0.388758
16	0.983974	0.985797	0.272166	0.966475	0.467643	0.297199	0.976302	0.979883	0.98485	0.167529	0.980335	0.970849	0.987062	0.279299	0.977472	0	0.317953	0.980863	0.288944	0.255738	0.989297	0.91766	0.975444	0.895542	0.982297	0.972761	0.967797	0.273329	0.989706	0.980262	0.895378	0.975725	0.98897	0.977812	0.977542	0.288423	0.974735	0.984344
17	0.987502	0.98908	0.420428	0.972219	0.54021	0.584864	0.982404	0.986465	0.987745	0.442854	0.984634	0.977747	0.990031	0.348641	0.98407	0.317953	0	0.983869	0.54192	0.474444	0.992304	0.939553	0.984694	0.796139	0.98359	0.983005	0.980722	0.509817	0.99321	0.986377	0.881191	0.984895	0.992159	0.983456	0.983494	0.458094	0.988566	0.987867
18	0.280724	0.272153	0.945553	0.679972	0.928593	0.964207	0.384254	0.425476	0.215973	0.98109	0.178783	0.51965	0.249132	0.974234	0.410172	0.980863	0.983869	0	0.942766	0.95417	0.630242	0.851899	0.570766	0.947928	0.611075	0.485638	0.65384	0.953826	0.524004	0.424431	0.908193	0.381896	0.439133	0.524904	0.403578	0.960032	0.340974	0.291192
19	0.953714	0.958024	0.174436	0.894274	0.620512	0.137933	0.927735	0.947135	0.959979	0.221565	0.939086	0.931237	0.961064	0.20019	0.950417	0.288944	0.54192	0.942766	0	0.107042	0.971314	0.885916	0.93651	0.862639	0.950843	0.938672	0.912495	0.262312	0.956442	0.945462	0.854935	0.939266	0.965416	0.945878	0.928829	0.159162	0.929204	0.956409
20	0.962075	0.968041	0.109636	0.894509	0.43521	0.148291	0.940834	0.950914	0.965138	0.165239	0.950384	0.903459	0.973334	0.220218	0.951206	0.255738	0.474444	0.95417	0.107042	0	0.9663	0.807291	0.927154	0.774407	0.940583	0.928916	0.897031	0.211176	0.966477	0.949177	0.781389	0.94739	0.97683	0.945943	0.943769	0.12447	0.956249	0.95811
21	0.708584	0.67667	0.974326	0.875683	0.960487	0.981212	0.489555	0.355987	0.675475	0.988561	0.703245	0.480912	0.643755	0.984556	0.685068	0.989297	0.992304	0.630242	0.971314	0.9663	0	0.855743	0.798061	0.893628	0.813338	0.710691	0.812592	0.974951	0.651691	0.452395	0.890068	0.470367	0.702025	0.74216	0.437036	0.974192	0.69171	0.634086
22	0.894248	0.924082	0.863904	0.783285	0.779996	0.927709	0.775196	0.802621	0.895106	0.934622	0.839147	0.667212	0.936508	0.942067	0.808081	0.91766	0.939553	0.851899	0.885916	0.807291	0.855743	0	0.752045	0.638168	0.626617	0.759767	0.564384	0.809523	0.922057	0.835467	0.343556	0.82765	0.953224	0.734305	0.757727	0.85126	0.879939	0.85564
23	0.599184	0.571597	0.942879	0.732248	0.931399	0.954499	0.616687	0.632784	0.533004	0.97205	0.516344	0.540857	0.661958	0.970614	0.680664	0.975444	0.984694	0.570766	0.93651	0.927154	0.798061	0.752045	0	0.96849	0.353559	0.754146	0.361442	0.940808	0.70363	0.620302	0.892064	0.552508	0.645748	0.310639	0.628468	0.927425	0.553335	0.576216
24	0.9699	0.971889	0.822146	0.888864	0.639883	0.89074	0.927148	0.927507	0.971677	0.885646	0.952479	0.886292	0.973778	0.837113	0.935168	0.895542	0.796139	0.947928	0.862639	0.774407	0.893628	0.638168	0.96849	0	0.939076	0.90393	0.936735	0.749913	0.950597	0.956491	0.403235	0.95777	0.985514	0.949373	0.913776	0.781587	0.971173	0.960669
25	0.681831	0.649943	0.951771	0.765295	0.949718	0.96278	0.646173	0.690854	0.620896	0.972898	0.618552	0.506497	0.702246	0.96679	0.738345	0.982297	0.98359	0.611075	0.950843	0.940583	0.813338	0.626617	0.353559	0.939076	0	0.837634	0.220979	0.947826	0.715635	0.681294	0.887536	0.642891	0.74876	0.554741	0.649042	0.928297	0.588358	0.616666
26	0.567974	0.580032	0.928166	0.751249	0.884352	0.952675	0.465712	0.468606	0.518189	0.976277	0.465832	0.650911	0.585489	0.97428	0.220191	0.972761	0.983005	0.485638	0.938672	0.928916	0.710691	0.759767	0.754146	0.90393	0.837634	0	0.80816	0.929324	0.770376	0.509665	0.73813	0.525823	0.651804	0.578595	0.495884	0.946323	0.714995	0.565997
27	0.757072	0.697067	0.898143	0.80564	0.927083	0.919228	0.620251	0.691383	0.697582	0.95808	0.593656	0.453928	0.764554	0.944214	0.729743	0.967797	0.980722	0.65384	0.912495	0.897031	0.812592	0.564384	0.361442	0.936735	0.220979	0.80816	0	0.922869	0.78385	0.644152	0.804383	0.621396	0.755291	0.481273	0.620351	0.902199	0.550216	0.667583
28	0.967384	0.97346	0.277049	0.903049	0.2677	0.362998	0.938939	0.950612	0.96829	0.356603	0.951518	0.904535	0.972365	0.377565	0.945148	0.273329	0.509817	0.953826	0.262312	0.211176	0.974951	0.809523	0.940808	0.749913	0.947826	0.929324	0.922869	0	0.973155	0.954968	0.742576	0.950159	0.980384	0.953574	0.937354	0.201838	0.954018	0.958265
29	0.441731	0.456599	0.971718	0.579346	0.955995	0.973235	0.671726	0.648918	0.5887	0.98691	0.617661	0.776302	0.491348	0.981539	0.763461	0.989706	0.99321	0.524004	0.956442	0.966477	0.651691	0.922057	0.70363	0.950597	0.715635	0.770376	0.78385	0.973155	0	0.616548	0.971916	0.620243	0.499486	0.701922	0.657756	0.966163	0.37331	0.645117
30	0.458922	0.429711	0.954036	0.786669	0.932078	0.96225	0.225244	0.179943	0.406479	0.977082	0.455003	0.367077	0.435872	0.970368	0.457959	0.980262	0.986377	0.424431	0.945462	0.949177	0.452395	0.835467	0.620302	0.956491	0.681294	0.509665	0.644152	0.954968	0.616548	0	0.892007	0.185121	0.51834	0.636125	0.245282	0.950794	0.470401	0.400411
31	0.954296	0.962367	0.823279	0.889872	0.69689	0.873997	0.845509	0.843301	0.946268	0.908706	0.887221	0.728462	0.962085	0.90021	0.796753	0.895378	0.881191	0.908193	0.854935	0.781389	0.890068	0.343556	0.892064	0.403235	0.887536	0.73813	0.804383	0.742576	0.971916	0.892007	0	0.900748	0.972337	0.844147	0.82424	0.798388	0.948878	0.909987
32	0.428999	0.382843	0.951649	0.783802	0.924106	0.964602	0.191644	0.228159	0.348077	0.977547	0.395075	0.399801	0.436206	0.97148	0.503856	0.975725	0.984895	0.381896	0.939266	0.94739	0.470367	0.82765	0.552508	0.95777	0.642891	0.525823	0.621396	0.950159	0.620243	0.185121	0.900748	0	0.480321	0.524852	0.210472	0.952179	0.404212	0.453971
33	0.412066	0.343728	0.972743	0.827892	0.97759	0.970885	0.558387	0.541556	0.384294	0.986555	0.43599	0.756822	0.289262	0.98032	0.511205	0.98897	0.992159	0.439133	0.965416	0.97683	0.702025	0.953224	0.645748	0.985514	0.74876	0.651804	0.755291	0.980384	0.499486	0.51834	0.972337	0.480321	0	0.618982	0.564441	0.971482	0.473125	0.435997
34	0.629106	0.565881	0.936235	0.764498	0.930602	0.956908	0.589673	0.599032	0.53601	0.973924	0.484293	0.652887	0.663692	0.976366	0.551173	0.977812	0.983456	0.524904	0.945878	0.945943	0.74216	0.734305	0.310639	0.949373	0.554741	0.578595	0.481273	0.953574	0.701922	0.636125	0.844147	0.524852	0.618982	0	0.604901	0.955745	0.542985	0.678992
35	0.513948	0.476696	0.949994	0.783021	0.932373	0.957212	0.0454214	0.221545	0.438279	0.976725	0.398288	0.299622	0.429917	0.965001	0.475233	0.977542	0.983494	0.403578	0.928829	0.943769	0.437036	0.757727	0.628468	0.913776	0.649042	0.495884	0.620351	0.937354	0.657756	0.245282	0.82424	0.210472	0.564441	0.604901	0	0.944834	0.491592	0.42055
36	0.964087	0.967782	0.202515	0.898754	0.487245	0.171824	0.942341	0.95503	0.970153	0.187991	0.946378	0.914828	0.973672	0.178693	0.959105	0.288423	0.458094	0.960032	0.159162	0.12447	0.974192	0.85126	0.927425	0.781587	0.928297	0.946323	0.902199	0.201838	0.966163	0.950794	0.798388	0.952179	0.971482	0.955745	0.944834	0	0.944577	0.958087
37	0.418023	0.287899	0.948526	0.704841	0.937449	0.954555	0.496134	0.514987	0.382473	0.975465	0.419147	0.559572	0.383991	0.965335	0.650879	0.974735	0.988566	0.340974	0.929204	0.956249	0.69171	0.879939	0.553335	0.971173	0.588358	0.714995	0.550216	0.954018	0.37331	0.470401	0.948878	0.404212	0.473125	0.542985	0.491592	0.944577	0	0.41522
38	0.390452	0.339479	0.959997	0.798169	0.946467	0.967759	0.409986	0.423898	0.322419	0.981643	0.330769	0.498781	0.313956	0.974602	0.388758	0.984344	0.987867	0.291192	0.956409	0.95811	0.634086	0.85564	0.576216	0.960669	0.616666	0.565997	0.667583	0.958265	0.645117	0.400411	0.909987	0.453971	0.435997	0.678992	0.42055	0.958087	0.41522	0
